Consumption (kWh), Start, End
0.00E+00, 2022-04-05T00:00:00+01:00, 2022-04-05T00:30:00+01:00
0.00E+00, 2022-04-05T00:30:00+01:00, 2022-04-05T01:00:00+01:00
0.00E+00, 2022-04-05T01:00:00+01:00, 2022-04-05T01:30:00+01:00
0.00E+00, 2022-04-05T01:30:00+01:00, 2022-04-05T02:00:00+01:00
0.00E+00, 2022-04-05T02:00:00+01:00, 2022-04-05T02:30:00+01:00
0.00E+00, 2022-04-05T02:30:00+01:00, 2022-04-05T03:00:00+01:00
0.00E+00, 2022-04-05T03:00:00+01:00, 2022-04-05T03:30:00+01:00
0.00E+00, 2022-04-05T03:30:00+01:00, 2022-04-05T04:00:00+01:00
0.00E+00, 2022-04-05T04:00:00+01:00, 2022-04-05T04:30:00+01:00
0.00E+00, 2022-04-05T04:30:00+01:00, 2022-04-05T05:00:00+01:00
0.00E+00, 2022-04-05T05:00:00+01:00, 2022-04-05T05:30:00+01:00
0.00E+00, 2022-04-05T05:30:00+01:00, 2022-04-05T06:00:00+01:00
0.00E+00, 2022-04-05T06:00:00+01:00, 2022-04-05T06:30:00+01:00
0.00E+00, 2022-04-05T06:30:00+01:00, 2022-04-05T07:00:00+01:00
0.012, 2022-04-05T07:00:00+01:00, 2022-04-05T07:30:00+01:00
0.216, 2022-04-05T07:30:00+01:00, 2022-04-05T08:00:00+01:00
0.649, 2022-04-05T08:00:00+01:00, 2022-04-05T08:30:00+01:00
0.629, 2022-04-05T08:30:00+01:00, 2022-04-05T09:00:00+01:00
1.01, 2022-04-05T09:00:00+01:00, 2022-04-05T09:30:00+01:00
1.107, 2022-04-05T09:30:00+01:00, 2022-04-05T10:00:00+01:00
1.299, 2022-04-05T10:00:00+01:00, 2022-04-05T10:30:00+01:00
1.194, 2022-04-05T10:30:00+01:00, 2022-04-05T11:00:00+01:00
1.812, 2022-04-05T11:00:00+01:00, 2022-04-05T11:30:00+01:00
1.868, 2022-04-05T11:30:00+01:00, 2022-04-05T12:00:00+01:00
2.03, 2022-04-05T12:00:00+01:00, 2022-04-05T12:30:00+01:00
1.588, 2022-04-05T12:30:00+01:00, 2022-04-05T13:00:00+01:00
1.608, 2022-04-05T13:00:00+01:00, 2022-04-05T13:30:00+01:00
1.866, 2022-04-05T13:30:00+01:00, 2022-04-05T14:00:00+01:00
1.718, 2022-04-05T14:00:00+01:00, 2022-04-05T14:30:00+01:00
2.234, 2022-04-05T14:30:00+01:00, 2022-04-05T15:00:00+01:00
1.451, 2022-04-05T15:00:00+01:00, 2022-04-05T15:30:00+01:00
0.812, 2022-04-05T15:30:00+01:00, 2022-04-05T16:00:00+01:00
1.034, 2022-04-05T16:00:00+01:00, 2022-04-05T16:30:00+01:00
1.27, 2022-04-05T16:30:00+01:00, 2022-04-05T17:00:00+01:00
0.751, 2022-04-05T17:00:00+01:00, 2022-04-05T17:30:00+01:00
0.525, 2022-04-05T17:30:00+01:00, 2022-04-05T18:00:00+01:00
0.162, 2022-04-05T18:00:00+01:00, 2022-04-05T18:30:00+01:00
0.015, 2022-04-05T18:30:00+01:00, 2022-04-05T19:00:00+01:00
